"rechteckgraben";"ritus";"alterbem";"aalter";"g_loc08_id";"grabkonstr";"grabhoehenlage";"laenge";"breite";"tiefe";"leichenbeh";"holzreste";"steinpackungsunterlage";"steinabdeckung";"brandspuren";"steinkiste";"steinkranz";"steineinfassunglangseite";"steineinfassungschmalseite";"gruenspan";"ausrichtung";"kopfbekannt";"tangentiallage";"phase";"individuenzahl";"folgegrab";"zusammenmitgrab";"geschlecht";"geschlecht_arch";"g_bem"
f;551;"leer
";534;3091;401;421;0;0;0.45;448;f;f;f;f;f;f;f;f;f;478;f;490;502;1;f;"leer
";514;512;"Flachgrab oder verschliffener Hügel unklar.
"
f;560;"leer
";534;13669;406;424;0;0;0;440;t;f;f;f;f;f;f;f;f;470;f;487;500;0;f;"leer
";514;514;"leer
"
f;555;"leer

";534;3603;406;424;1.5;3;0;448;f;f;f;t;f;f;f;f;f;470;f;490;502;1;f;"leer

";514;514;"leer

"
f;555;"leer
";534;13736;406;424;0;0;0;441;t;f;f;t;f;f;f;f;f;470;f;490;502;0;f;"leer
";514;514;"leer
"
f;560;"leer
";534;3470;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;1;f;"leer
";514;514;"leer
"
f;550;"leer
";524;9146;406;424;0;0;0;448;f;f;t;f;f;f;f;f;f;481;f;490;502;1;f;"leer
";514;512;"leer
"
f;560;"";534;138;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;139;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;143;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;144;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;145;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;146;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;147;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;148;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;150;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;151;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;152;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;153;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;154;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;155;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;156;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;560;"";534;157;406;424;0;0;0;448;f;f;f;f;f;f;f;f;f;470;f;490;502;0;f;"";514;514;""
f;551;"";534;2640;406;424;0;0;0;448;t;f;f;f;f;f;f;f;f;470;f;490;502;1;f;"";514;514;""
