"loc09_id";"loc09_loc08_id";"loc09_nam";"loc09_typ";"loc09_text_beschr";"loc09_text_bem";"loc09_text_lit";"x";"y";"loc09_autochron"
3389;;"xx";224;"";"";"";;;"undatiert"
3404;;"xx";224;"";"";"";;;"undatiert"
3405;;"xx";224;"";"";"";;;"undatiert"
3455;;"xx";224;"";"";"";;;"undatiert"
3457;;"xx";224;"";"";"";;;"undatiert"
3459;;"xx";224;"";"";"";;;"undatiert"
3462;;"xx";224;"";"";"";;;"undatiert"
3489;;"xx";224;"";"";"";;;"undatiert"
3491;;"xx";224;"";"";"";;;"undatiert"
3502;;"xx";224;"";"";"";;;"undatiert"
3503;;"xx";224;"";"";"";;;"undatiert"
3510;;"xx";224;"";"";"";;;"undatiert"
3513;;"xx";224;"";"";"";;;"undatiert"
3518;;"xx";224;"";"";"";;;"undatiert"
3520;;"xx";224;"";"";"";;;"undatiert"
3522;;"xx";224;"";"";"";;;"undatiert"
3524;;"xx";224;"";"";"";;;"undatiert"
3526;;"xx";224;"";"";"";;;"undatiert"
3527;;"xx";224;"";"";"";;;"undatiert"
3528;;"xx";224;"";"";"";;;"undatiert"
3530;;"xx";224;"";"";"";;;"undatiert"
3532;;"xx";224;"";"";"";;;"undatiert"
3534;;"xx";224;"";"";"";;;"undatiert"
3543;;"xx";224;"";"";"";;;"undatiert"
3577;;"xx";224;"";"";"";;;"undatiert"
3592;;"xx";224;"";"";"";;;"undatiert"
3595;;"xx";224;"";"";"";;;"undatiert"
3653;;"xx";224;"";"";"";;;"undatiert"
3669;;"xx";224;"";"";"";;;"undatiert"
3670;;"xx";224;"";"";"";;;"undatiert"
3671;;"xx";224;"";"";"";;;"undatiert"
3672;;"xx";224;"";"";"";;;"undatiert"
3679;;"xx";224;"";"";"";;;"undatiert"
3695;;"xx";224;"";"";"";;;"undatiert"
3700;;"xx";224;"";"";"";;;"undatiert"
3708;;"xx";224;"";"";"";;;"undatiert"
3718;;"xx";224;"";"";"";;;"undatiert"
3720;;"xx";224;"";"";"";;;"undatiert"
3749;;"xx";224;"";"";"";;;"undatiert"
3750;;"xx";224;"";"";"";;;"undatiert"
3758;;"xx";224;"";"";"";;;"undatiert"
3759;;"xx";224;"";"";"";;;"undatiert"
3761;;"xx";224;"";"";"";;;"undatiert"
3774;;"xx";224;"";"";"";;;"undatiert"
3799;;"xx";224;"";"";"";;;"undatiert"
3800;;"xx";224;"";"";"";;;"undatiert"
3803;;"xx";224;"";"";"";;;"undatiert"
3813;;"xx";224;"";"";"";;;"undatiert"
3816;;"xx";224;"";"";"";;;"undatiert"
3817;;"xx";224;"";"";"";;;"undatiert"
3818;;"xx";224;"";"";"";;;"undatiert"
3819;;"xx";224;"";"";"";;;"undatiert"
3820;;"xx";224;"";"";"";;;"undatiert"
3821;;"xx";224;"";"";"";;;"undatiert"
3822;;"xx";224;"";"";"";;;"undatiert"
3823;;"xx";224;"";"";"";;;"undatiert"
3832;;"xx";224;"";"";"";;;"undatiert"
3848;;"xx";224;"";"";"";;;"undatiert"
3857;;"xx";224;"";"";"";;;"undatiert"
3860;;"xx";224;"";"";"";;;"undatiert"
3865;;"xx";224;"";"";"";;;"undatiert"
5388;;"xx";224;"";"";"";;;"undatiert"
5389;;"xx";224;"";"";"";;;"undatiert"
5391;;"xx";224;"";"";"";;;"undatiert"
5404;;"xx";224;"";"";"";;;"undatiert"
5410;;"xx";224;"";"";"";;;"undatiert"
5418;;"xx";224;"";"";"";;;"undatiert"
5419;;"xx";224;"";"";"";;;"undatiert"
6690;;"xx";224;"";"";"";;;"undatiert"
6693;;"xx";224;"";"";"";;;"undatiert"
6694;;"xx";224;"";"";"";;;"undatiert"
