"loc04_id";"loc04_loc03_id";"loc04_nam";"loc04_code";"x";"y"
288;91;"OBERHAVEL";"DE40A";3782930.79523;5871973.64215
289;91;"OBERSPREEWALD-LAUSITZ";"DE40B";3842191.27454;5731599.18333
290;91;"ODER-SPREE";"DE40C";3856264.36816;5802557.11738
291;91;"OSTPRIGNITZ-RUPPIN";"DE40D";3744089.48409;5879472.16048
292;91;"POTSDAM-MITTELMARK";"DE40E";3752425.84948;5797688.23098
293;91;"PRIGNITZ";"DE40F";3698440.5891;5890300.58643
294;91;"SPREE-NEISSE";"DE40G";3874940.69083;5749775.60339
295;91;"TELTOW-FLÄMING";"DE40H";3793030.45045;5779693.50017
296;91;"UCKERMARK";"DE40I";3824537.24409;5908021.69787
297;92;"BREMEN";"DE501";3485443.0311;5887196.30049
298;92;"BREMERHAVEN";"DE502";3473363.17998;5935107.63654
299;93;"HAMBURG";"DE601";3567489.52675;5935576.34509
300;94;"DARMSTADT";"DE711";3475830.34222;5527605.43048
301;94;"FRANKFURT (MAIN)";"DE712";3474346.93823;5553474.25436
302;94;"OFFENBACH";"DE713";3484444.7725;5550548.56853
303;94;"WIESBADEN";"DE714";3446801.40846;5549344.36442
304;94;"BERGSTRASSE";"DE715";3475509.05177;5497923.42101
305;94;"DARMSTADT-DIEBURG";"DE716";3485115.59442;5524361.89699
306;94;"GROSS-GERAU";"DE717";3461782.68639;5530098.82889
307;94;"HOCHTAUNUSKREIS";"DE718";3464553.84587;5571764.55172
308;94;"MAIN-KINZIG-KREIS";"DE719";3520290.70781;5567521.15865
309;94;"MAIN-TAUNUS-KREIS";"DE71A";3459338.17955;5551877.83046
310;94;"ODENWALDKREIS";"DE71B";3498451.32656;5503960.23817
311;94;"OFFENBACH";"DE71C";3486422.20825;5542828.73522
312;94;"RHEINGAU-TAUNUS-KREIS";"DE71D";3434181.90363;5556431.28314
313;94;"WETTERAUKREIS";"DE71E";3493451.67844;5579946.91768
314;95;"GIESSEN";"DE721";3486315.05697;5603789.1117
315;95;"LAHN-DILL-KREIS";"DE722";3454920.6785;5612569.71037
316;95;"LIMBURG-WEILBURG";"DE723";3443025.08356;5588189.90772
317;95;"MARBURG-BIEDENKOPF";"DE724";3481589.58786;5633387.17428
318;95;"VOGELSBERGKREIS";"DE725";3519347.62516;5611447.51082
319;96;"KASSEL";"DE731";3531987.7139;5686384.64755
320;96;"FULDA";"DE732";3553914.67656;5603468.81316
321;96;"HERSFELD-ROTENBURG";"DE733";3553138.25635;5641601.64299
322;96;"KASSEL";"DE734";3528210.01577;5696291.36065
323;96;"SCHWALM-EDER-KREIS";"DE735";3526237.84653;5654474.36747
324;96;"WALDECK-FRANKENBERG";"DE736";3492245.23238;5672722.94329
325;96;"WERRA-MEISSNER-KREIS";"DE737";3565178.625;5673149.08461
326;97;"GREIFSWALD";"DE801";3788945.34721;6004199.79457
327;97;"NEUBRANDENBURG";"DE802";3781915.03135;5943054.65188
328;97;"ROSTOCK";"DE803";3705358.63667;6006140.26036
329;97;"SCHWERIN";"DE804";3660159.89984;5945883.40902
330;97;"STRALSUND";"DE805";3765937.09141;6025707.70147
331;97;"WISMAR";"DE806";3662086.97711;5976675.64537
332;97;"BAD DOBERAN";"DE807";3701541.78481;5995093.58583
333;97;"DEMMIN";"DE808";3766461.69737;5970475.77794
334;97;"GÜSTROW";"DE809";3718408.92437;5970395.5522
335;97;"LUDWIGSLUST";"DE80A";3648386.53971;5918421.18082
336;97;"MECKLENBURG-STRELITZ";"DE80B";3784665.81848;5931892.67236
337;97;"MÜRITZ";"DE80C";3742335.89142;5931603.38413
338;97;"NORDVORPOMMERN";"DE80D";3748455.97465;6015604.79645
339;97;"NORDWESTMECKLENBURG";"DE80E";3648120.62802;5967549.24871
340;97;"OSTVORPOMMERN";"DE80F";3806830.56221;5987887.55735
341;97;"PARCHIM";"DE80G";3690941.36897;5936953.29436
342;97;"RÜGEN";"DE80H";3784637.3906;6042769.21978
343;97;"UECKER-RANDOW";"DE80I";3836124.26986;5947688.83494
344;98;"BRAUNSCHWEIG";"DE911";3604237.3653;5794725.63776
345;98;"SALZGITTER";"DE912";3593991.54651;5777652.45707
346;98;"WOLFSBURG";"DE913";3621796.4297;5810144.79812
347;98;"GIFHORN";"DE914";3608924.29376;5828590.74234
348;98;"GÖTTINGEN";"DE915";3564426.06566;5707393.91218
349;98;"GOSLAR";"DE916";3596775.36331;5749738.27335
350;98;"HELMSTEDT";"DE917";3629091.69741;5793478.28161
351;98;"NORTHEIM";"DE918";3558674.7451;5734321.83553
352;98;"OSTERODE AM HARZ";"DE919";3595044.37528;5727947.81567
353;98;"PEINE";"DE91A";3585866.61519;5797491.68601
354;98;"WOLFENBÜTTEL";"DE91B";3608682.26126;5778084.62794
355;99;"HANNOVER";"DE921";3552784.281;5805344.14233
356;99;"DIEPHOLZ";"DE922";3480081.40585;5843697.02605
357;99;"HAMELN-PYRMONT";"DE923";3526937.12277;5773318.28403
358;99;"HANNOVER";"DE924";3548913.31069;5810552.44526
359;99;"HILDESHEIM";"DE925";3564853.54665;5773288.60717
360;99;"HOLZMINDEN";"DE926";3538065.96078;5749485.90586
361;99;"NIENBURG (WESER)";"DE927";3507881.7085;5830462.19352
362;99;"SCHAUMBURG";"DE928";3514347.17893;5795380.57675
363;100;"CELLE";"DE931";3574677.08098;5842827.74248
364;100;"CUXHAVEN";"DE932";3487344.01751;5942516.53688
365;100;"HARBURG";"DE933";3564048.47439;5909896.73657
366;100;"LÜCHOW-DANNENBERG";"DE934";3642506.38909;5878724.24621
367;100;"LÜNEBURG";"DE935";3604865.84282;5901385.66737
368;100;"OSTERHOLZ";"DE936";3487338.16549;5901836.51084
