"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
20595;"B1269123";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>normalmundig>niedriger Umbruch";"B1269123";"niedriger Umbruch";"B126912";"None";"None"
20596;"B126913";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>weitmundig";"B126913";"weitmundig";"B12691";"None";"None"
20597;"B1269131";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>weitmundig>hoher Umbruch";"B1269131";"hoher Umbruch";"B126913";"None";"None"
20598;"B1269132";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>weitmundig>mittlerer Umbruch";"B1269132";"mittlerer Umbruch";"B126913";"None";"None"
20599;"B1269133";"Gefaess>Breitform>Metallgef.>Sonstige>Fuss>weitmundig>niedriger Umbruch";"B1269133";"niedriger Umbruch";"B126913";"None";"None"
20600;"B126921";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>engmundig";"B126921";"engmundig";"B12692";"None";"None"
20601;"B1269211";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>engmundig>hoher Umbruch";"B1269211";"hoher Umbruch";"B126921";"None";"None"
20602;"B1269212";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>engmundig>mittlerer Umbruch";"B1269212";"mittlerer Umbruch";"B126921";"None";"None"
20603;"B1269213";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>engmundig>niedriger Umbruch";"B1269213";"niedriger Umbruch";"B126921";"None";"None"
20604;"B126922";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>normalmundig";"B126922";"normalmundig";"B12692";"None";"None"
20605;"B1269221";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>normalmundig>hoher Umbruch";"B1269221";"hoher Umbruch";"B126922";"None";"None"
20606;"B1269222";"Gefaess>Breitform>Metallgef.>Sonstige>Standring>normalmundig>mittlerer Umbruch";"B1269222";"mittlerer Umbruch";"B126922";"None";"None"
20577;"B1268911";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>engmundig>hoher Umbruch";"B1268911";"hoher Umbruch";"B126891";"None";"None"
20578;"B1268912";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>engmundig>mittlerer Umbruch";"B1268912";"mittlerer Umbruch";"B126891";"None";"None"
20579;"B1268913";"Gefaess>Breitform>Metallgef.>Blech u. Achse>Sonstiger Boden>engmundig>niedriger Umbruch";"B1268913";"niedriger Umbruch";"B126891";"None";"None"
