"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
177;380;12;0;1.1;0;f;f;f;f;f;"Loch";f
176;380;15;0;1.2;0;f;f;f;f;f;"stark zerwühlt";f
175;380;10;0;0.3;0;f;f;f;f;f;"Delle";f
174;380;20;0;1.5;0;f;f;f;f;f;"stark zerwühlt";f
173;380;16;0;1.3;0;f;f;f;f;f;"Mulde";f
172;380;14;0;1.4;0;f;f;f;f;f;"Schnitt N-S";f
171;380;13;0;1.3;0;f;f;f;f;f;"Mulde";f
170;380;12;0;1.2;0;f;f;f;f;f;"Loch";f
168;380;13;0;1.3;0;f;f;f;f;f;"Mulde";f
167;380;15;0;1.3;0;f;f;f;f;f;"Schnitt";f
166;380;19;0;1.5;0;f;f;f;f;f;"Mulden";f
165;380;13;0;1.4;0;f;f;f;f;f;"Grabungsspuren";f
164;380;16;0;1.8;0;f;f;f;f;f;"angeschnitten von NW her";f
163;380;13;0;1.2;0;f;f;f;f;f;"Mulde";f
162;380;15;0;0.3;0;f;f;f;f;f;"Mulde";f
161;380;13;0;0.8;0;f;f;f;f;f;"Grabungsspuren";f
160;380;12;0;1;0;f;f;f;f;f;"nördliches Drittel vom Weg abgeschnitten, sonst unberührt";f
159;380;11;0;0.6;0;f;f;f;f;f;"Grabungsspuren";f
158;380;12;0;0.8;0;f;f;f;f;f;"unberührt";f
157;380;12;0;0.8;0;f;f;f;f;f;"unberührt";f
156;380;14;0;1;0;f;f;f;f;f;"unberührt";f
155;380;20;0;1;0;f;f;f;f;f;"unberührt, am Hang gelegen";f
154;380;11;0;0.6;0;f;f;f;f;f;"leichte Delle, von Baumwurzel";f
153;380;15;0;1.2;0;f;f;f;f;f;"am Rand vom Waldweg beschnitten, scheint unberührt";f
152;380;20;0;1.2;0;f;f;f;f;f;"Waldweg führt darüber, sonst unberührt";f
193;380;14;0;0.3;0;t;f;f;f;f;"leer";f
194;380;20;0;0.6;0;t;f;f;f;f;"leer";f
198;380;25;0;0.8;0;f;f;f;f;f;"leer";f
197;380;24;0;1;0;f;f;f;f;f;"leer";f
196;380;20;0;1;0;f;f;f;f;f;"leer";f
195;380;12;0;0.4;0;f;f;f;f;f;"leer";f
895;384;0;0;0;0;f;f;f;f;f;"leer";f
210;380;12;0;0.4;0;f;f;f;f;f;"leer";f
211;384;0;0;0;0;f;f;f;f;f;"nahezu verflacht, kaum mehr erkennbar";f
214;380;13;0;0.3;0;f;f;f;f;f;"leer";f
215;380;15;0;1.2;0;f;f;f;f;f;"leer";f
216;380;18;0;1.3;0;f;f;f;f;f;"leer";f
217;380;18;0;1.2;0;f;f;f;f;f;"leer";f
13895;380;16;0;0.4;0;f;f;f;f;f;"leer";f
13896;380;13;0;0.3;0;f;f;f;f;f;"leer";f
14147;384;0;0;0;0;f;f;f;f;f;"";f
11789;384;0;0;0;0;f;f;f;f;f;"leer";f
14519;380;21;0;1;0;f;f;f;f;f;"leer";f
14520;380;17;0;0.4;0;f;f;f;f;f;"leer";f
14566;380;14;0;0.4;0;f;f;f;f;f;"leer";f
14540;380;18;0;0.5;0;f;f;f;f;f;"leer";f
4073;384;0;0;0;0;f;f;f;f;f;"leer";f
15866;384;0;0;0;0;f;f;f;f;f;"";f
15864;384;0;0;0;0;f;f;f;f;f;"";f
292;384;0;0;0;0;f;f;f;f;f;"leer";f
13775;384;0;0;0;0;f;f;f;f;f;"";f
13776;384;0;0;0;0;f;f;f;f;f;"";f
15904;384;0;0;0;0;f;f;f;f;f;"";f
4074;384;0;0;0;9;f;f;f;f;f;"Körperflachgräber";f
4161;384;0;0;0;0;f;f;f;f;f;"leer";f
